# prefix,country_code(ISO 3166-1),region_code(ISO 3166-2),city,postal

44.30.63.0/24,TW,TW-TPE,,
23.175.184.0/24,US,,,
23.175.184.128/28,US,US-MO,Kansas City,
23.154.104.0/24,NL,NL-NH,Amsterdam,

2602:f93b:120::/44,HK,,,

2602:f93b:130::/44,US,,,
2602:f93b:131::/48,US,US-MO,Kansas City,
2602:f93b:132::/48,US,US-MO,Seattle,

2602:f93b:140::/44,TW,,,

2602:f93b:150::/44,JP,,,
2602:f93b:151::/48,JP,JP-13,Tokyo,

2602:f93b:161::/44,DE,DE-HE,Frankfurt am Main,

2602:f93b:a00::/48,CN,CN-BJ,Beijing,
2602:f93b:a41::/48,TW,TW-TPE,,
2602:f93b:a41:3::/64,TW,TW-TPE,,

2a0b:71c0:171::/48,NL,NL-NH,Amsterdam,
